CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - CAB00 - ILU - ILU	CHG.E58	CHG.E58 - CAB00 - ILU - ILU	 CAB00 - ILU - ILU	ILUMINACIÓN CÁMARA DE VÁLVULAS	VISUAL	02_SEMANAL	PP	ILU	OK
CHG.E58 - CAB00 - TAB00 - CMC00	CHG.E58	CHG.E58 - CAB00 - TAB00 - CMC00	 CAB00 - TAB00 - CMC00	CUADRO DE CONTROL Y MANIOBRAS 	RATICIDA	02_SEMANAL	PP	CUADRO	OK
CHG.E58 - CAB00 - TAB00 - EDF02	CHG.E58	CHG.E58 - CAB00 - TAB00 - EDF02	 CAB00 - TAB00 - EDF02	CASETA DE VÁLVULAS DE LA PRESA DE LOS MELONARES	LIMPIEZA	04_MENSUAL	PP	CASETA	OK
CHG.E58 - CAB00 - TAB00 - EDF02	CHG.E58	CHG.E58 - CAB00 - TAB00 - EDF02	 CAB00 - TAB00 - EDF02	CASETA DE VÁLVULAS DE LA PRESA DE LOS MELONARES	LIMPIEZA AGUA PRESIÓN	07_ANUAL	PP	CASETA	OK
CHG.E58 - CAB00 - TAB00 - EMB00	CHG.E58	CHG.E58 - CAB00 - TAB00 - EMB00	 CAB00 - TAB00 - EMB00	EQUIPO MOTOR BOMBA DE C. DE VALVULAS	REVISIÓN	07_ANUAL	EE	MOTOR	OK
CHG.E58 - CAB00 - TAB01 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB01 - VAB	 CAB00 - TAB01 - VAB	VÁLVULA MARIPOSA	MANIOBRA	06_SEMESTRAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB01 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB01 - VAB	 CAB00 - TAB01 - VAB	VÁLVULA MARIPOSA	REVISIÓN	07_ANUAL	EE	VÁLVULA	OK
CHG.E58 - CAB00 - TAB01 - VAR	CHG.E58	CHG.E58 - CAB00 - TAB01 - VAR	 CAB00 - TAB01 - VAR	VÁLVULA MARIPOSA	MANIOBRA	06_SEMESTRAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB01 - VAR	CHG.E58	CHG.E58 - CAB00 - TAB01 - VAR	 CAB00 - TAB01 - VAR	VÁLVULA MARIPOSA	REVISIÓN	07_ANUAL	EE	VÁLVULA	OK
CHG.E58 - CAB00 - TAB02 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB02 - VAB	 CAB00 - TAB02 - VAB	VÁLVULA MULTICHORRO Nª 01 MD	MANIOBRA	06_SEMESTRAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB02 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB02 - VAB	 CAB00 - TAB02 - VAB	VÁLVULA MULTICHORRO Nª 01 MD	ENGRASE	07_ANUAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB02 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB02 - VAB	 CAB00 - TAB02 - VAB	VÁLVULA MULTICHORRO Nª 01 MD	REVISIÓN	07_ANUAL	EE	VÁLVULA	OK
